channel,channel_sku,sku
own_store,VH-1083,VH-1083
amazon,B0HC6GKYNZ,VH-1083
marketplace,vh stainless steel serving board,VH-1083
own_store,VH-1084,VH-1084
amazon,B0TRA8NLKK,VH-1084
marketplace,acacsauc,VH-1084
own_store,VH-1085,VH-1085
amazon,B0XLHGCJNR,VH-1085
marketplace,bamboo-cake-tin,VH-1085
own_store,VH-1086,VH-1086
amazon,B0SFE1R7XM,VH-1086
marketplace,borosilicate-spatula-set,VH-1086
marketplace,vh borosilicate spatula set,VH-1086
own_store,VH-1087,VH-1087
amazon,B0TE7M6JWU,VH-1087
marketplace,marbturn,VH-1087
own_store,VH-1088,VH-1088
amazon,B0QRL5NZ0E,VH-1088
marketplace,boropastbowlset,VH-1088
own_store,VH-1089,VH-1089
amazon,B0GEWB7VT5,VH-1089
own_store,VH-1090,VH-1090
amazon,B09VH9SRSS,VH-1090
marketplace,borosilicte turner,VH-1090
own_store,VH-1091,VH-1091
marketplace,oak_salad_bowl,VH-1091
own_store,VH-1092,VH-1092
amazon,B01J3QMR6K,VH-1092
marketplace,cerapantbox,VH-1092
own_store,VH-1093,VH-1093
amazon,B0CVL56XRT,VH-1093
marketplace,enaml mug set,VH-1093
own_store,VH-1094,VH-1094
amazon,B0ET2TR1UZ,VH-1094
marketplace,terracotta-turner,VH-1094
own_store,VH-1095,VH-1095
amazon,B03PAVHJY6,VH-1095
marketplace,copper-frying-pan,VH-1095
own_store,VH-1096,VH-1096
amazon,B06RJSMPSQ,VH-1096
marketplace,ceramic-frying-pan,VH-1096
own_store,VH-1097,VH-1097
amazon,B0PLGQ0WUW,VH-1097
marketplace,coppapro,VH-1097
own_store,VH-1098,VH-1098
amazon,B0QBC8YR1R,VH-1098
marketplace,enamel-ladle,VH-1098
own_store,VH-1099,VH-1099
amazon,B0SEPFUQ3B,VH-1099
marketplace,slte water bottle,VH-1099
marketplace,slate_water_bottle,VH-1099
own_store,VH-1100,VH-1100
amazon,B0GT06CP9V,VH-1100
marketplace,stonewre saute pan,VH-1100
own_store,VH-1101,VH-1101
amazon,B07LLE55WZ,VH-1101
marketplace,cast-iron-electric-kettle,VH-1101
own_store,VH-1102,VH-1102
amazon,B0KT4D60ZK,VH-1102
marketplace,stoneware-electric-kettle,VH-1102
own_store,VH-1103,VH-1103
amazon,B09Q1GC9N5,VH-1103
marketplace,stoneware-spatula-set,VH-1103
own_store,VH-1104,VH-1104
amazon,B04CU9MZTG,VH-1104
marketplace,borosilicate_carafe,VH-1104
own_store,VH-1105,VH-1105
amazon,B0C14B2M8L,VH-1105
marketplace,vh terracotta carafe,VH-1105
own_store,VH-1106,VH-1106
amazon,B08XCQ8NA9,VH-1106
marketplace,coppturn,VH-1106
own_store,VH-1107,VH-1107
amazon,B0D27V1BVA,VH-1107
marketplace,copper-pasta-bowl-set,VH-1107
own_store,VH-1108,VH-1108
amazon,B077TNVM8B,VH-1108
marketplace,melamine saucpan,VH-1108
own_store,VH-1109,VH-1109
amazon,B0TBXU1FDC,VH-1109
marketplace,stoneware_tumbler_set,VH-1109
own_store,VH-1110,VH-1110
amazon,B0DF2MFPCY,VH-1110
marketplace,enmel bread bin,VH-1110
own_store,VH-1111,VH-1111
amazon,B02U1TMWTY,VH-1111
marketplace,terrapro,VH-1111
own_store,VH-1112,VH-1112
amazon,B0HGZ5AHB5,VH-1112
marketplace,borosilicate-food-chopper,VH-1112
own_store,VH-1113,VH-1113
amazon,B0PFWXAFNA,VH-1113
marketplace,vh bamboo turner,VH-1113
own_store,VH-1114,VH-1114
amazon,B0KWHTZDZV,VH-1114
marketplace,stoeware serving board,VH-1114
own_store,VH-1115,VH-1115
amazon,B0ADK7M1A7,VH-1115
marketplace,bambsauc,VH-1115
own_store,VH-1116,VH-1116
amazon,B0MT6315WC,VH-1116
marketplace,stainless steel sock pot,VH-1116
own_store,VH-1117,VH-1117
amazon,B04BS1RFN3,VH-1117
marketplace,vh enamel tea towel set,VH-1117
own_store,VH-1118,VH-1118
amazon,B01FSLB5Q7,VH-1118
marketplace,marbsalabowl,VH-1118
own_store,VH-1119,VH-1119
amazon,B0UUZPWM7A,VH-1119
marketplace,bamboo-serving-spoon,VH-1119
