return_id,order_id,sku,quantity,return_date,reason,condition_on_return
RET-000083,ORD-000529,B044FDSE6A,1,2024-10-07,not as described,resellable
RET-000084,ORD-000531,B0NTQBZ4V2,1,2024-10-25,no longer needed,resellable
RET-000085,ORD-000540,melamine-tumbler-set ,1,2024-10-28,not as described,resellable
RET-000086,ORD-000543,VH-1052,1,2024-10-25,arrived damaged,opened
RET-000087,ORD-000545,B00RADH5S3,2,2024-09-27,not as described,resellable
RET-000088,ORD-000546,B0HC6GKYNZ,1,2024-10-09,changed mind,resellable
RET-000089,ORD-000546,B0WXUN8SX9,1,2024-10-10,quality issue,damaged
RET-000090,ORD-000547,B0JJCQQ73Q,1,2024-11-05,changed mind,resellable
RET-000091,ORD-000547,B0WXUN8SX9,1,2024-10-03,quality issue,opened
RET-000092,ORD-000553,B0KWHTZDZV,1,2024-10-04,changed mind,resellable
RET-000093,ORD-000555,VH-1069,1,2024-09-28,changed mind,damaged
RET-000094,ORD-000560,B00RADH5S3,1,2024-10-20,not as described,resellable
RET-000095,ORD-000576,VH-1057,1,2024-11-04,changed mind,resellable
RET-000096,ORD-000579,B0QGLWA5EL,1,2024-09-25,changed mind,resellable
RET-000097,ORD-000581,B0BW9EFX8S,1,2024-10-21,quality issue,damaged
RET-000098,ORD-000591,B0XLHGCJNR,1,2024-10-09,wrong item,resellable
RET-000099,ORD-000592,B0QRA7AREC,1,2024-09-22,arrived damaged,damaged
RET-000100,ORD-000594,B0WXUN8SX9,1,2024-09-16,changed mind,opened
RET-000101,ORD-000595,VH-1052,1,2024-10-02,quality issue,damaged
RET-000102,ORD-000605,B00E7ZCXW5,1,2024-10-13,quality issue,opened
RET-000103,ORD-000609, vh marble water bottle  ,1,2024-10-10,changed mind,opened
RET-000104,ORD-000609,bambeleckett  ,1,2024-10-27,arrived damaged,damaged
RET-000105,ORD-000613,VH-1065,1,2024-10-08,changed mind,resellable
RET-000106,ORD-000617,B0CVL56XRT,1,2024-09-27,not as described,opened
RET-000107,ORD-000619, marbladl ,1,2024-10-18,quality issue,opened
RET-000108,ORD-000629,B03RU2WGG5,1,2024-10-04,quality issue,opened
RET-000109,ORD-000635,B0W3L9K2TT,1,2024-10-19,changed mind,resellable
RET-000110,ORD-000636,B0W3L9K2TT,1,2024-10-05,changed mind,resellable
RET-000111,ORD-000640,VH-1063,1,2024-10-14,not as described,resellable
RET-000112,ORD-000652,B0XLHGCJNR,1,2024-10-03,arrived damaged,opened
RET-000113,ORD-000663,B00RADH5S3,1,2024-10-23,not as described,resellable
RET-000114,ORD-000673,B0NUXWWTXM,1,2024-10-23,not as described,opened
RET-000115,ORD-000674,B0WXUN8SX9,1,2024-09-25,changed mind,resellable
RET-000116,ORD-000674,B0ZM4P1CPY,1,2024-10-06,arrived damaged,damaged
RET-000117,ORD-000676, enamel elecric kettle ,1,2024-09-18,quality issue,resellable
RET-000118,ORD-000678,B0R6SMCWAT,1,2024-10-13,changed mind,opened
RET-000119,ORD-000679,VH-1035,1,2024-10-03,changed mind,resellable
RET-000120,ORD-000682,B07LLE55WZ,1,2024-10-28,arrived damaged,damaged
RET-000121,ORD-000694,B0PB2ANK9N,1,2024-09-17,changed mind,resellable
RET-000122,ORD-000699,B0WXUN8SX9,1,2024-10-06,changed mind,resellable
RET-000123,ORD-000721, marbturn  ,1,2024-09-26,changed mind,opened
RET-000124,ORD-000722,B0GKVZ8140,1,2024-11-02,changed mind,resellable
RET-000125,ORD-000726,B0XLHGCJNR,1,2024-11-01,changed mind,resellable
RET-000126,ORD-000731,B0TE7M6JWU,1,2024-10-07,changed mind,resellable
RET-000127,ORD-000734,B0X2XM7B9M,1,2024-09-20,not as described,opened
RET-000128,ORD-000738,B0L1F47G91,1,2024-10-07,quality issue,resellable
RET-000129,ORD-000741,VH-1023,1,2024-09-25,no longer needed,resellable
RET-000130,ORD-000761,B0XLHGCJNR,1,2024-10-18,no longer needed,resellable
RET-000131,ORD-000774,B0NTQBZ4V2,1,2024-11-16,not as described,opened
RET-000132,ORD-000778,VH-1019,1,2024-10-23,no longer needed,resellable
RET-000133,ORD-000779,B0G9FTWQ6C,1,2024-11-02,changed mind,resellable
RET-000134,ORD-000780,enamel_water_bottle ,2,2024-10-25,arrived damaged,damaged
RET-000135,ORD-000781,B0WXUN8SX9,1,2024-10-22,changed mind,resellable
RET-000136,ORD-000791,B0NNFJVLCD,1,2024-11-07,changed mind,resellable
RET-000137,ORD-000803, bamboo-wine-glasses  ,1,2024-11-09,changed mind,resellable
RET-000138,ORD-000807,VH-1081,2,2024-10-27,changed mind,resellable
RET-000139,ORD-000808,B0NTQBZ4V2,1,2024-10-24,not as described,resellable
RET-000140,ORD-000809,B0WXUN8SX9,1,2024-10-19,quality issue,opened
RET-000141,ORD-000811,B0CZC3PXCW,1,2024-11-18,changed mind,resellable
RET-000142,ORD-000813, coppapro ,1,2024-11-28,arrived damaged,damaged
RET-000143,ORD-000820,VH-1088,1,2024-10-20,quality issue,damaged
RET-000144,ORD-000831,B00E7ZCXW5,1,2024-11-10,changed mind,resellable
RET-000145,ORD-000844,B0WXUN8SX9,1,2024-10-19,wrong item,resellable
RET-000146,ORD-000847,VH-1019,1,2024-10-23,changed mind,resellable
RET-000147,ORD-000850,B00RADH5S3,3,2024-11-09,arrived damaged,damaged
RET-000148,ORD-000853,B0PLGQ0WUW,1,2024-12-14,not as described,resellable
RET-000149,ORD-000871,VH-1092,1,2024-10-26,changed mind,resellable
RET-000150,ORD-000890,B0HK5F3DG1,1,2024-10-14,not as described,damaged
RET-000151,ORD-000893,VH-1101,1,2024-11-02,no longer needed,resellable
RET-000152,ORD-000899,B0WXUN8SX9,1,2024-11-09,arrived damaged,damaged
RET-000153,ORD-000903,VH-1054,1,2024-11-14,not as described,opened
RET-000154,ORD-000908,B0WXUN8SX9,1,2024-10-27,wrong item,resellable
RET-000155,ORD-000909,VH-1039,1,2024-11-03,arrived damaged,damaged
RET-000156,ORD-000911,B0WXUN8SX9,1,2024-10-23,arrived damaged,damaged
RET-000157,ORD-000912,B0XLHGCJNR,1,2024-10-12,arrived damaged,damaged
RET-000158,ORD-000924,B09Q1GC9N5,1,2024-10-11,no longer needed,resellable
RET-000159,ORD-000929,B06RJSMPSQ,1,2024-10-21,quality issue,opened
RET-000160,ORD-000933, staisteestanmixe ,2,2024-11-03,changed mind,resellable
RET-000161,ORD-000951,B0TE7M6JWU,1,2024-11-20,not as described,damaged
RET-000162,ORD-000957,VH-1060,1,2024-10-26,changed mind,resellable
RET-000163,ORD-000959,B06TDAT9ZQ,1,2024-10-26,not as described,damaged
RET-000164,ORD-000966,VH-1004,1,2024-12-02,quality issue,opened
RET-000165,ORD-000971,B0W8N8XWYK,1,2024-10-14,not as described,resellable
RET-000166,ORD-000980, staisteestanmixe ,1,2024-11-29,quality issue,opened
RET-000167,ORD-000986,B00RADH5S3,1,2024-11-17,wrong item,opened
RET-000168,ORD-000997,VH-1057,1,2024-10-21,quality issue,resellable
RET-000169,ORD-001000,VH-1041,1,2024-11-09,not as described,opened
RET-000170,ORD-001004,B00E7ZCXW5,1,2024-11-07,not as described,opened
RET-000171,ORD-001012,B0G9FTWQ6C,1,2024-11-08,no longer needed,resellable
RET-000172,ORD-001016,vh glass storage jar set of 6  ,1,2024-11-05,changed mind,opened
RET-000173,ORD-001017,VH-1015,1,2024-10-30,no longer needed,resellable
RET-000174,ORD-001018,VH-1027,2,2024-11-08,not as described,resellable
RET-000175,ORD-001026,B0PFWXAFNA,1,2024-11-13,changed mind,resellable
RET-000176,ORD-001031,B0BW9EFX8S,1,2024-10-27,arrived damaged,damaged
RET-000177,ORD-001048,B0WXUN8SX9,1,2024-11-03,arrived damaged,damaged
RET-000178,ORD-001050,B0S1TJJESE,1,2024-11-10,no longer needed,opened
RET-000179,ORD-001055,borosilicate-spatula-set  ,1,2024-11-09,changed mind,resellable
RET-000180,ORD-001061,B0WXUN8SX9,1,2024-10-17,quality issue,damaged
RET-000181,ORD-001066,B0NTQBZ4V2,1,2024-11-16,arrived damaged,opened
RET-000182,ORD-001080,B00RADH5S3,1,2024-11-02,changed mind,opened
RET-000183,ORD-001084, cast_iron_baking_sheet ,1,2024-11-14,not as described,resellable
RET-000184,ORD-001088,VH-1112,1,2024-11-07,changed mind,damaged
RET-000185,ORD-001089,VH-1025,2,2024-10-02,changed mind,opened
RET-000186,ORD-001096,VH-1057,1,2024-11-21,arrived damaged,opened
RET-000187,ORD-001110,B0D27V1BVA,1,2024-12-20,changed mind,resellable
RET-000188,ORD-001121,B03JL94SRB,1,2024-10-26,changed mind,resellable
RET-000189,ORD-001121,B0L1F47G91,2,2024-10-19,changed mind,opened
RET-000190,ORD-001126,B0WXUN8SX9,1,2024-11-07,changed mind,resellable
RET-000191,ORD-001128,B0QFTM3WML,1,2024-11-01,wrong item,opened
RET-000192,ORD-001137,B04BS1RFN3,1,2024-10-18,changed mind,resellable
RET-000193,ORD-001142,B0BW9EFX8S,1,2024-10-30,changed mind,resellable
RET-000194,ORD-001143,B0NTQBZ4V2,1,2024-12-06,changed mind,opened
RET-000195,ORD-001145,B0SFE1R7XM,1,2024-10-29,wrong item,opened
RET-000196,ORD-001151,B0NTQBZ4V2,1,2024-11-13,not as described,resellable
RET-000197,ORD-001157,VH-1034,1,2024-10-31,changed mind,damaged
RET-000198,ORD-001158, vh bamboo storage jar  ,1,2024-10-27,changed mind,resellable
RET-000199,ORD-001171,cermic pasta bowl set ,1,2024-11-26,changed mind,resellable
RET-000200,ORD-001173,B04FTSGMDD,1,2024-11-02,changed mind,resellable
RET-000201,ORD-001181, bamboo-balloon-whisk  ,1,2024-10-25,changed mind,opened
RET-000202,ORD-001183,B0WXUN8SX9,1,2024-11-16,changed mind,resellable
RET-000203,ORD-001187,B0WXUN8SX9,1,2024-11-16,changed mind,opened
RET-000204,ORD-001196,VH-1025,1,2024-12-11,no longer needed,opened
RET-000205,ORD-001200,B0WXUN8SX9,1,2024-10-17,no longer needed,resellable
RET-000206,ORD-001218,VH-1025,1,2024-10-14,not as described,opened
RET-000207,ORD-001226,VH-1037,1,2024-10-30,not as described,resellable
RET-000208,ORD-001228,B00RADH5S3,1,2024-10-15,no longer needed,resellable
RET-000209,ORD-001230,coppapro ,1,2024-11-18,not as described,resellable
RET-000210,ORD-001233,B0W3L9K2TT,1,2024-11-12,arrived damaged,damaged
RET-000211,ORD-001242,VH-1038,1,2024-11-03,no longer needed,resellable
RET-000212,ORD-001244,B04CU9MZTG,1,2024-11-15,arrived damaged,damaged
RET-000213,ORD-001249,B0L1F47G91,1,2024-11-19,arrived damaged,damaged
RET-000214,ORD-001253,VH-1103,1,2024-10-20,arrived damaged,damaged
RET-000215,ORD-001255,ceramic dinnr set 12 piece  ,1,2024-10-11,changed mind,opened
RET-000216,ORD-001256,B00RADH5S3,1,2024-11-02,changed mind,resellable
RET-000217,ORD-001258,B0WXUN8SX9,2,2024-10-25,not as described,opened
RET-000218,ORD-001260,B00RADH5S3,1,2024-10-24,arrived damaged,damaged
RET-000219,ORD-001277,B0KT4D60ZK,1,2024-11-01,no longer needed,resellable
RET-000220,ORD-001282,VH-1057,1,2024-10-30,arrived damaged,damaged
RET-000221,ORD-001283,VH-1038,1,2024-11-12,no longer needed,resellable
RET-000222,ORD-001284,B0XLHGCJNR,1,2024-10-08,no longer needed,resellable
RET-000223,ORD-001300,B03RU2WGG5,1,2024-10-11,changed mind,resellable
RET-000224,ORD-001307,B03RU2WGG5,1,2024-10-18,not as described,opened
RET-000225,ORD-001312,B0ZM4P1CPY,1,2024-11-15,no longer needed,resellable
RET-000226,ORD-001326,VH-1112,1,2024-11-30,no longer needed,resellable
RET-000227,ORD-001328,B00H6QEFH6,1,2024-11-04,not as described,damaged
RET-000228,ORD-001355, stoneware-spatula-set ,1,2024-10-21,arrived damaged,damaged
RET-000229,ORD-001358,VH-1118,1,2024-11-16,not as described,resellable
RET-000230,ORD-001362,B07YF2T8JE,1,2024-11-29,changed mind,opened
RET-000231,ORD-001364,B0WXUN8SX9,1,2024-11-01,not as described,opened
RET-000232,ORD-001367,VH-1034,1,2024-11-18,arrived damaged,damaged
RET-000233,ORD-001373,B0HGZ5AHB5,1,2024-11-12,changed mind,resellable
RET-000234,ORD-001391,B0N0SG1LUL,1,2024-11-09,changed mind,opened
RET-000235,ORD-001402,B0L1F47G91,3,2024-12-01,changed mind,resellable
RET-000236,ORD-001402,B0WXUN8SX9,1,2024-10-31,changed mind,resellable
RET-000237,ORD-001403,VH-1085,1,2024-11-19,changed mind,opened
RET-000238,ORD-001410,B04CU9MZTG,1,2024-11-17,wrong item,resellable
RET-000239,ORD-001411,B00RADH5S3,1,2024-10-19,changed mind,resellable
RET-000240,ORD-001414,B0PFWXAFNA,1,2024-10-26,not as described,resellable
RET-000241,ORD-001417,B00RADH5S3,1,2024-10-24,changed mind,opened
RET-000242,ORD-001419,ceramic dinnr set 12 piece ,1,2024-11-09,wrong item,damaged
RET-000243,ORD-001424,B00RADH5S3,1,2024-10-27,no longer needed,resellable
RET-000244,ORD-001425,B0L1F47G91,1,2024-10-23,changed mind,resellable
RET-000245,ORD-001432,VH-1092,1,2024-10-28,not as described,damaged
RET-000246,ORD-001450,B0ZQ6DWCXF,1,2024-11-12,changed mind,opened
RET-000247,ORD-001453,B0WXUN8SX9,1,2024-10-04,changed mind,resellable
RET-000248,ORD-001458,B076GJU5HA,1,2024-10-16,changed mind,resellable
RET-000249,ORD-001468,B0BW9EFX8S,1,2024-10-27,arrived damaged,damaged
RET-000250,ORD-001476,B0QBC8YR1R,1,2024-11-11,arrived damaged,opened
RET-000251,ORD-001483,B0PSBKCKDF,1,2024-11-05,not as described,resellable
RET-000252,ORD-001493,B044FDSE6A,1,2024-11-02,not as described,damaged
RET-000253,ORD-001494,B0N0SG1LUL,1,2024-11-20,quality issue,opened
RET-000254,ORD-001497,B06RJSMPSQ,1,2024-11-02,changed mind,resellable
RET-000255,ORD-001498,vh terracotta carafe ,1,2024-11-06,not as described,resellable
RET-000256,ORD-001499,B0GKVZ8140,1,2024-10-31,changed mind,resellable
RET-000257,ORD-001508, vh bamboo storage jar  ,1,2024-11-12,not as described,resellable
RET-000258,ORD-001510,B0WXUN8SX9,1,2024-10-24,changed mind,opened
RET-000259,ORD-001514,B0WXUN8SX9,1,2024-12-01,not as described,resellable
RET-000260,ORD-001528,vh enamel tumbler set ,1,2024-11-07,arrived damaged,damaged
RET-000261,ORD-001529, enamel-salad-bowl  ,1,2024-11-06,changed mind,resellable
RET-000262,ORD-001530,B0W8N8XWYK,1,2024-11-09,arrived damaged,damaged
RET-000263,ORD-001541,stoneware_loaf_tin  ,1,2024-11-17,quality issue,opened
RET-000264,ORD-001567,B0GQ0AUTHT,1,2024-11-06,not as described,opened
RET-000265,ORD-001580,B0WXUN8SX9,2,2024-10-08,wrong item,opened
RET-000266,ORD-001582,B044FDSE6A,1,2024-11-08,changed mind,resellable
RET-000267,ORD-001590,staisteestanmixe ,1,2024-11-04,no longer needed,resellable
RET-000268,ORD-001591,B0WXUN8SX9,1,2024-11-13,arrived damaged,damaged
RET-000269,ORD-001593,B0L1F47G91,1,2024-11-19,quality issue,damaged
RET-000270,ORD-001595,B0W3L9K2TT,1,2024-11-16,quality issue,resellable
RET-000271,ORD-001598,B0MLAXK2E1,1,2024-11-01,no longer needed,resellable
RET-000272,ORD-001602,B00RADH5S3,1,2024-11-04,no longer needed,resellable
RET-000273,ORD-001606,B0NNFJVLCD,3,2024-11-07,arrived damaged,damaged
RET-000274,ORD-001609,B00RADH5S3,1,2024-10-31,quality issue,damaged
RET-000275,ORD-001610, vh bamboo kitchen utensil set ,1,2024-10-28,wrong item,resellable
RET-000276,ORD-001611,VH-1001,1,2024-10-22,wrong item,resellable
RET-000277,ORD-001616, staisteestanmixe  ,1,2024-11-16,changed mind,damaged
RET-000278,ORD-001617,staisteestanmixe ,1,2024-10-28,no longer needed,resellable
RET-000279,ORD-001625,B0L1F47G91,1,2024-10-25,quality issue,damaged
RET-000280,ORD-001627,B0HK5F3DG1,2,2024-10-26,no longer needed,opened
RET-000281,ORD-001630,B0L1F47G91,1,2024-11-03,changed mind,resellable
RET-000282,ORD-001635,vh acacia hand blender ,1,2024-11-07,quality issue,resellable
RET-000283,ORD-001637,B0XVBEPU7E,1,2024-12-02,arrived damaged,damaged
RET-000284,ORD-001645,B0XLHGCJNR,1,2024-12-21,not as described,resellable
RET-000285,ORD-001647,B0QGLWA5EL,1,2024-10-22,not as described,damaged
RET-000286,ORD-001649,coppapro  ,1,2024-10-08,changed mind,resellable
RET-000287,ORD-001661,B0WXUN8SX9,1,2024-10-20,changed mind,resellable
RET-000288,ORD-001666,B0PFWXAFNA,1,2024-11-11,changed mind,resellable
RET-000289,ORD-001669,VH-1092,1,2024-11-13,changed mind,damaged
RET-000290,ORD-001673,staisteestanmixe  ,1,2024-11-13,arrived damaged,opened
RET-000291,ORD-001702,B07LLE55WZ,1,2024-12-29,changed mind,resellable
RET-000292,ORD-001703,B0ZM4P1CPY,1,2024-12-14,changed mind,resellable
RET-000293,ORD-001714,B0X2XM7B9M,1,2024-12-15,no longer needed,opened
RET-000294,ORD-001715, bamboo-cake-tin  ,1,2024-11-25,no longer needed,resellable
RET-000295,ORD-001718,B0WXUN8SX9,1,2024-11-23,changed mind,opened
RET-000296,ORD-001719,VH-1012,1,2024-12-28,changed mind,damaged
RET-000297,ORD-001725,B0GQ0AUTHT,1,2024-11-30,changed mind,resellable
RET-000298,ORD-001732,B0AH374DW8,1,2024-12-18,wrong item,damaged
RET-000299,ORD-001737,B0WXUN8SX9,1,2024-12-15,changed mind,opened
RET-000300,ORD-001738,B0S1ZHPN2M,1,2024-12-09,quality issue,resellable
RET-000301,ORD-001749,B0WXUN8SX9,1,2024-12-11,changed mind,opened
RET-000302,ORD-001752, enamel elecric kettle ,1,2024-11-21,changed mind,resellable
RET-000303,ORD-001753,VH-1057,1,2024-11-29,no longer needed,resellable
RET-000304,ORD-001759,VH-1015,1,2025-01-01,changed mind,resellable
RET-000305,ORD-001769,B0QFTM3WML,1,2024-11-24,not as described,resellable
RET-000306,ORD-001770, borocaniset ,1,2024-12-17,changed mind,resellable
RET-000307,ORD-001772,VH-1097,1,2024-12-01,no longer needed,resellable
RET-000308,ORD-001776,B06AAM59LS,2,2024-12-26,changed mind,resellable
RET-000309,ORD-001779,B0WXUN8SX9,1,2024-11-15,arrived damaged,damaged
RET-000310,ORD-001780,B0WXUN8SX9,1,2024-12-09,not as described,opened
RET-000311,ORD-001781,VH-1081,1,2024-12-01,changed mind,resellable
RET-000312,ORD-001789,VH-1096,1,2024-11-22,quality issue,opened
RET-000313,ORD-001792, oak_salad_bowl  ,1,2024-11-27,wrong item,opened
RET-000314,ORD-001793,B07LLE55WZ,1,2024-11-19,wrong item,opened
RET-000315,ORD-001795,B06TDAT9ZQ,1,2025-01-01,wrong item,opened
RET-000316,ORD-001804, vh enamel tumbler set ,1,2024-11-11,changed mind,resellable
RET-000317,ORD-001819, stoneware_tumbler_set  ,1,2024-11-28,changed mind,resellable
RET-000318,ORD-001820, oak placeat set ,1,2024-12-05,quality issue,opened
RET-000319,ORD-001824,ceramic dinnr set 12 piece ,1,2024-11-27,not as described,resellable
RET-000320,ORD-001843,B0GKGBFV52,1,2024-12-04,changed mind,resellable
RET-000321,ORD-001851,B0WXUN8SX9,3,2024-12-15,not as described,opened
RET-000322,ORD-001861,vh linen loaf tin ,1,2024-11-19,changed mind,resellable
RET-000323,ORD-001865,B06TDAT9ZQ,1,2024-12-18,changed mind,opened
RET-000324,ORD-001868,B0MLAXK2E1,1,2024-11-16,changed mind,resellable
RET-000325,ORD-001877,B0B1RBATAH,1,2024-11-28,changed mind,damaged
RET-000326,ORD-001892,B01J3QMR6K,1,2024-11-25,arrived damaged,damaged
RET-000327,ORD-001898,B0WXUN8SX9,1,2024-12-30,changed mind,resellable
RET-000328,ORD-001902,B0WXUN8SX9,1,2024-11-22,no longer needed,resellable
RET-000329,ORD-001920,staisteestanmixe  ,1,2024-12-07,not as described,resellable
RET-000330,ORD-001925,B00RADH5S3,1,2024-12-14,changed mind,opened
RET-000331,ORD-001928,vh bamboo turner ,1,2024-12-18,changed mind,resellable
RET-000332,ORD-001947, terracotta_placemat_set ,1,2024-12-07,wrong item,opened
RET-000333,ORD-001953,B0R6SMCWAT,1,2024-11-25,wrong item,opened
RET-000334,ORD-001955,B00RADH5S3,1,2024-12-03,changed mind,resellable
RET-000335,ORD-001959,B0WXUN8SX9,1,2024-12-21,changed mind,opened
RET-000336,ORD-001966, bambeleckett  ,1,2024-11-29,arrived damaged,damaged
RET-000337,ORD-001968,B02ZXK0X7U,1,2025-01-14,wrong item,resellable
RET-000338,ORD-001980,B0XS5B40FN,1,2024-11-27,not as described,opened
RET-000339,ORD-001983,B0X2XM7B9M,1,2024-12-06,changed mind,resellable
RET-000340,ORD-001995,B06AAM59LS,1,2024-11-26,not as described,resellable
RET-000341,ORD-001996,B0JJCQQ73Q,1,2024-12-16,arrived damaged,damaged
RET-000342,ORD-001996,B0YMGZD1WQ,1,2024-11-19,not as described,resellable
